Player,Pos.,Team,Rec,Tgt,RecYds,RecTD
Tyreek Hill,WR,MIA,11,15,215,2
Justin Jefferson,WR,MIN,9,12,150,0
Brandon Aiyuk,WR,SFO,8,8,129,2
Tutu Atwell,WR,LAR,6,8,119,0
Puka Nacua,WR,LAR,10,15,119,0
Chris Olave,WR,NOR,8,10,112,0
Stefon Diggs,WR,BUF,10,13,102,1
Calvin Ridley,WR,JAX,8,11,101,1
Michael Pittman Jr.,WR,IND,8,11,97,1
Rashid Shaheed,WR,NOR,5,6,89,1
Aaron Jones,RB,GNB,2,4,86,1
Jakobi Meyers,WR,LVR,9,10,81,2
Nico Collins,WR,HOU,6,11,80,0
Josh Reynolds,WR,DET,4,7,80,0
A.J. Brown,WR,PHI,7,10,79,0
Zay Flowers,WR,BAL,9,10,78,0
Jaylen Waddle,WR,MIA,4,5,78,0
CeeDee Lamb,WR,DAL,4,4,77,0
Keenan Allen,WR,LAC,6,9,76,0
Amon-Ra St. Brown,WR,DET,6,9,71,1
Davante Adams,WR,LVR,6,9,66,0
Mike Evans,WR,TAM,6,10,66,1
DeAndre Hopkins,WR,TEN,7,13,65,0
Kendrick Bourne,WR,NWE,6,11,64,2
Allen Robinson,WR,PIT,5,8,64,0
Rhamondre Stevenson,RB,NWE,6,6,64,0
Jordan Addison,WR,MIN,4,6,61,1
Michael Thomas,WR,NOR,5,8,61,0
Nick Westbrook-Ikhine,WR,TEN,4,7,58,0
Robert Woods,WR,HOU,6,10,57,0
Derrick Henry,RB,TEN,2,3,56,0
Hunter Henry,TE,NWE,5,6,56,1
Zay Jones,WR,JAX,5,7,55,1
Deebo Samuel,WR,SFO,5,7,55,0
Curtis Samuel,WR,WAS,5,5,54,0
Darnell Mooney,WR,CHI,4,7,53,1
Chris Godwin,WR,TAM,5,6,51,0
Luke Musgrave,TE,GNB,3,4,50,0
Evan Engram,TE,JAX,5,5,49,0
Tyler Higbee,TE,LAR,3,3,49,0
Diontae Johnson,WR,PIT,3,6,48,0
Jayden Reed,WR,GNB,2,5,48,0
Marquez Valdes-Scantling,WR,KAN,2,2,48,0
Austin Ekeler,RB,LAC,4,5,47,0
D.K. Metcalf,WR,SEA,3,5,47,1
,,,,,,
DeVonta Smith,WR,PHI,7,10,47,1
Allen Lazard,WR,NYJ,2,4,46,0
Justin Watson,WR,KAN,2,4,45,0
Mike Williams,WR,LAC,4,5,45,0
Cole Kmet,TE,CHI,5,7,44,0
Kyle Pitts,TE,ATL,2,3,44,0
Durham Smythe,TE,MIA,3,7,44,0
Elijah Moore,WR,CLE,3,7,43,0
Logan Thomas,TE,WAS,4,8,43,0
Braxton Berrios,WR,MIA,3,5,42,0
Hayden Hurst,TE,CAR,5,7,41,1
River Cracraft,WR,MIA,3,5,40,1
Jahan Dotson,WR,WAS,5,7,40,0
Demario Douglas,WR,NWE,4,7,40,0
Ja'Marr Chase,WR,CIN,5,9,39,0
Kylen Granson,TE,IND,4,6,39,0
Sam LaPorta,TE,DET,5,5,39,0
Calvin Austin,WR,PIT,6,6,37,0
Odell Beckham Jr.,WR,BAL,2,3,37,0
Amari Cooper,WR,CLE,3,7,37,0
Khalil Herbert,RB,CHI,3,5,37,0
Samaje Perine,RB,DEN,4,4,37,0
Mike Gesicki,TE,NWE,3,3,36,0
Juwan Johnson,TE,NOR,3,5,36,0
George Pickens,WR,PIT,5,7,36,0
Darren Waller,TE,NYG,3,5,36,0
Rashod Bateman,WR,BAL,3,3,35,0
T.J. Hockenson,TE,MIN,8,9,35,0
Roschon Johnson,RB,CHI,6,7,35,0
Tank Dell,WR,HOU,3,4,34,0
Alec Ingold,FB,MIA,2,2,34,0
Adam Trautman,TE,DEN,5,5,34,0
Garrett Wilson,WR,NYJ,5,5,34,1
Rondale Moore,WR,ARI,3,3,33,0
JuJu Smith-Schuster,WR,NWE,4,7,33,0
Gabriel Davis,WR,BUF,2,4,32,0
Josh Oliver,TE,MIN,3,3,32,0
Courtland Sutton,WR,DEN,4,5,32,1
Noah Gray,TE,KAN,3,5,31,0
Mack Hollins,WR,ATL,3,4,31,0
Brandon Johnson,WR,DEN,2,3,31,0
Terry McLaurin,WR,WAS,2,4,31,0
K.J. Osborn,WR,MIN,3,6,31,0
Isiah Pacheco,RB,KAN,4,4,31,0
Josh Downs,WR,IND,3,7,30,0
,,,,,,
Rashee Rice,WR,KAN,3,5,29,1
Marquise Brown,WR,ARI,3,5,28,0
Travis Etienne,RB,JAX,5,5,27,0
Bijan Robinson,RB,ATL,6,6,27,1
Dalvin Cook,RB,NYJ,3,3,26,0
Romeo Doubs,WR,GNB,4,5,26,2
Dalton Kincaid,TE,BUF,4,4,26,0
Miles Sanders,RB,CAR,4,6,26,0
Dawson Knox,TE,BUF,3,4,25,0
D.J. Moore,WR,CHI,2,2,25,0
