Player,Pos.,Team,RushYds,RushAtt,RushTD
Christian McCaffrey,RB,SFO,152,22,1
Breece Hall,RB,NYJ,127,10,0
Austin Ekeler,RB,LAC,117,16,1
Nick Chubb,RB,CLE,106,18,0
Joshua Kelley,RB,LAC,91,16,1
Travis Etienne,RB,JAX,77,18,1
Tyler Allgeier,RB,ATL,75,15,2
David Montgomery,RB,DET,74,21,1
Miles Sanders,RB,CAR,72,18,0
Tony Pollard,RB,DAL,70,14,2
Kenneth Walker III,RB,SEA,64,12,0
Derrick Henry,RB,TEN,63,15,0
James Conner,RB,ARI,62,14,0
Chuba Hubbard,RB,CAR,60,9,0
Justin Fields,QB,CHI,59,9,0
Brian Robinson Jr.,RB,WAS,59,19,0
Joe Mixon,RB,CIN,56,13,0
Bijan Robinson,RB,ATL,56,10,0
Kenneth Gainwell,RB,PHI,54,14,0
Javonte Williams,RB,DEN,52,13,0
Kyren Williams,RB,LAR,52,15,2
Saquon Barkley,RB,NYG,51,12,0
Josh Jacobs,RB,LVR,48,19,0
James Cook,RB,BUF,46,12,0
Patrick Mahomes,QB,KAN,45,6,0
Deshaun Watson,QB,CLE,45,5,1
Jamaal Williams,RB,NOR,45,18,0
Daniel Jones,QB,NYG,43,13,0
Jahmyr Gibbs,RB,DET,42,7,0
Aaron Jones,RB,GNB,41,9,1
Samaje Perine,RB,DEN,41,8,0
Anthony Richardson,QB,IND,40,10,1
Rachaad White,RB,TAM,39,17,0
Lamar Jackson,QB,BAL,38,6,0
Dameon Pierce,RB,HOU,38,11,0
Jalen Hurts,QB,PHI,37,9,0
Raheem Mostert,RB,MIA,37,10,1
Josh Allen,QB,BUF,36,6,0
Jerome Ford,RB,CLE,36,15,0
Alexander Mattison,RB,MIN,34,11,0
Dalvin Cook,RB,NYJ,33,13,0
Gus Edwards,RB,BAL,32,8,0
Najee Harris,RB,PIT,31,6,0
Cam Akers,RB,LAR,29,22,1
Marquise Brown,WR,ARI,29,1,0
,,,,,
Ezekiel Elliott,RB,NWE,29,7,0
Khalil Herbert,RB,CHI,27,9,0
Tyjae Spears,RB,TEN,27,3,0
Rhamondre Stevenson,RB,NWE,25,12,0
Rico Dowdle,RB,DAL,24,6,0
Isiah Pacheco,RB,KAN,23,8,0
J.K. Dobbins,RB,BAL,22,8,1
Clyde Edwards-Helaire,RB,KAN,22,6,0
Patrick Taylor,RB,GNB,22,5,0
Trevor Lawrence,QB,JAX,21,7,0
Roschon Johnson,RB,CHI,20,5,1
Brock Purdy,QB,SFO,20,3,0
C.J. Stroud,QB,HOU,20,4,0
AJ Dillon,RB,GNB,19,13,0
Elijah Moore,WR,CLE,19,2,0
Erik Ezukanma,WR,MIA,17,2,0
Justin Herbert,QB,LAC,17,5,1
Bryce Young,QB,CAR,17,3,0
D'Onta Foreman,RB,CHI,16,5,0
Mac Jones,QB,NWE,15,2,0
Devin Singletary,RB,HOU,15,7,0
Sean Tucker,RB,TAM,15,5,0
Deon Jackson,RB,IND,14,13,0
KaVontae Turpin,WR,DAL,14,3,1
Tank Bigsby,RB,JAX,13,7,1
Chris Evans,RB,CIN,12,2,0
Jordan Love,QB,GNB,12,3,0
Rondale Moore,WR,ARI,12,2,0
Salvon Ahmed,RB,MIA,11,3,0
Zach Charbonnet,RB,SEA,11,3,0
Jimmy Garoppolo,QB,LVR,11,9,0
Sam Howell,QB,WAS,11,2,1
Baker Mayfield,QB,TAM,11,8,0
Rashid Shaheed,WR,NOR,11,2,0
Matthew Stafford,QB,LAR,11,3,0
Jake Funk,RB,IND,10,2,0
Elijah Mitchell,RB,SFO,10,5,0
Matt Breida,RB,NYG,9,2,0
Treylon Burks,WR,TEN,9,1,0
Zay Flowers,WR,BAL,9,2,0
Antonio Gibson,RB,WAS,9,3,0
Justice Hill,RB,BAL,9,8,2
Chase Edmonds,RB,TAM,8,2,0
Latavius Murray,RB,BUF,8,2,0
Deebo Samuel,WR,SFO,8,2,0
,,,,,
Deuce Vaughn,RB,DAL,8,6,0
Kirk Cousins,QB,MIN,7,3,0
Ty Montgomery,RB,NWE,7,1,0
Chris Rodriguez,RB,WAS,7,3,0
Trayveon Williams,RB,CIN,7,2,0
Keenan Allen,WR,LAC,6,2,0
Michael Carter,RB,NYJ,6,1,0
Dak Prescott,QB,DAL,6,1,0
Curtis Samuel,WR,WAS,6,1,0
Geno Smith,QB,SEA,6,1,0
Jaylen Warren,RB,PIT,6,3,0
Zach Wilson,QB,NYJ,6,4,0
Gary Brightwell,RB,NYG,5,1,0
Tony Jones,RB,NOR,5,1,0
Laviska Shenault Jr.,WR,CAR,5,2,0
Tua Tagovailoa,QB,MIA,5,5,0
Ryan Tannehill,QB,TEN,5,3,0
Derek Carr,QB,NOR,4,3,0
DeeJay Dallas,RB,SEA,4,2,0
Deonte Harty,WR,BUF,4,1,0
Taysom Hill,QB,NOR,4,3,0
Skyy Moore,WR,KAN,4,1,0
Kenny Pickett,QB,PIT,4,1,0
Damien Harris,RB,BUF,3,1,0
Jalen Reeves-Maybin,LB,DET,3,1,0
Boston Scott,RB,PHI,3,1,0
D'Andre Swift,RB,PHI,3,1,0
Ja'Marr Chase,WR,CIN,2,1,0
Gerald Everett,TE,LAC,2,1,0
Zamir White,RB,LVR,2,1,0
Evan Hull,RB,IND,1,1,0
Russell Wilson,QB,DEN,1,1,0
Ty Chandler,RB,MIN,0,3,0
Sean Clifford,QB,GNB,0,1,0
Rakim Jarrett,WR,TAM,0,1,0
Cole Kmet,TE,CHI,0,1,0
Jake Browning,QB,CIN,-1,1,0
Noah Brown,WR,HOU,-1,1,0
Joe Burrow,QB,CIN,-1,1,0
Jared Goff,QB,DET,-1,5,0
Desmond Ridder,QB,ATL,-1,1,0
Kadarius Toney,WR,KAN,-1,1,0
