,Player,Pos.,Team,PassYds,PassTD,Int,PassAtt,Cmp,Rec,Tgt,RecYds,RecTD,RushYds,RushAtt,RushTD,FantPoints
0,A.J. Brown,WR,PHI,0,0,0,0,0,7,10,79,0,0,0,0,14.9
1,AJ Dillon,RB,GNB,0,0,0,0,0,2,3,17,0,19,13,0,5.6
2,Aaron Jones,RB,GNB,0,0,0,0,0,2,4,86,1,41,9,1,26.700000000000003
3,Aaron Rodgers,QB,NYJ,0,0,0,1,0,0,0,0,0,0,0,0,0.0
4,Adam Thielen,WR,CAR,0,0,0,0,0,2,2,12,0,0,0,0,3.2
5,Adam Trautman,TE,DEN,0,0,0,0,0,5,5,34,0,0,0,0,8.4
6,Alec Ingold,FB,MIA,0,0,0,0,0,2,2,34,0,0,0,0,5.4
7,Alec Pierce,WR,IND,0,0,0,0,0,1,3,5,0,0,0,0,1.5
8,Alexander Mattison,RB,MIN,0,0,0,0,0,3,4,10,1,34,11,0,13.4
9,Allen Lazard,WR,NYJ,0,0,0,0,0,2,4,46,0,0,0,0,6.6
10,Allen Robinson,WR,PIT,0,0,0,0,0,5,8,64,0,0,0,0,11.4
11,Amari Cooper,WR,CLE,0,0,0,0,0,3,7,37,0,0,0,0,6.7
12,Amon-Ra St. Brown,WR,DET,0,0,0,0,0,6,9,71,1,0,0,0,19.1
13,Andrew Ogletree,TE,IND,0,0,0,0,0,1,2,20,0,0,0,0,3.0
14,Anthony McFarland Jr.,RB,PIT,0,0,0,0,0,2,2,11,0,0,0,0,3.1
15,Anthony Richardson,QB,IND,223,1,1,37,24,0,0,0,0,40,10,1,20.92
16,Antonio Gibson,RB,WAS,0,0,0,0,0,1,1,10,0,9,3,0,2.9
17,Austin Ekeler,RB,LAC,0,0,0,0,0,4,5,47,0,117,16,1,26.4
18,Austin Hooper,TE,LVR,0,0,0,0,0,1,1,20,0,0,0,0,3.0
19,Baker Mayfield,QB,TAM,173,2,0,34,21,0,0,0,0,11,8,0,16.02
20,Bijan Robinson,RB,ATL,0,0,0,0,0,6,6,27,1,56,10,0,20.299999999999997
21,Blake Bell,TE,KAN,0,0,0,0,0,2,3,12,1,0,0,0,9.2
22,Boston Scott,RB,PHI,0,0,0,0,0,1,1,7,0,3,1,0,2.0
23,Brandin Cooks,WR,DAL,0,0,0,0,0,2,4,22,0,0,0,0,4.2
24,Brandon Aiyuk,WR,SFO,0,0,0,0,0,8,8,129,2,0,0,0,32.9
25,Brandon Johnson,WR,DEN,0,0,0,0,0,2,3,31,0,0,0,0,5.1
26,Braxton Berrios,WR,MIA,0,0,0,0,0,3,5,42,0,0,0,0,7.2
27,Breece Hall,RB,NYJ,0,0,0,0,0,1,2,20,0,127,10,0,15.7
28,Brian Robinson Jr.,RB,WAS,0,0,0,0,0,1,2,7,1,59,19,0,13.600000000000001
29,Brock Purdy,QB,SFO,220,2,0,29,19,0,0,0,0,20,3,0,18.8
30,Brock Wright,TE,DET,0,0,0,0,0,2,2,17,0,0,0,0,3.7
31,Bryce Young,QB,CAR,146,1,2,38,20,0,0,0,0,17,3,0,7.54
